,time_x,low,high,open,close,volume,pol
320,17-11-2021,58380,60824.38,60101.56,60351.51,20907.21545,6.848016715
321,18-11-2021,56514.13,60977.21,60351.51,56898,26749.21203,10.57507989
322,19-11-2021,55625,58412.12,56898.46,58122.16,18554.56064,17.76006355
323,20-11-2021,57423.35,59900,58122.15,59760.76,7584.652417,16.9164878
324,21-11-2021,58509.69,60070,59760.76,58671.21,6661.366354,17.56364441
325,22-11-2021,55641.03,59526.51,58671.22,56280.81,15889.22079,21.93938327
326,23-11-2021,55377,57886.03,56280.81,57566.85,14019.78167,2.982231331
327,24-11-2021,55875.01,57607.97,57562.65,57162.66,12509.25972,18.69034897
328,25-11-2021,57037.04,59445.99,57158.58,58987.27,10668.67681,25.16371062
329,26-11-2021,53533,59194,58994.72,53757.67,25946.30175,11.36005037
330,27-11-2021,53642.58,55316.67,53757.67,54759.05,7899.303491,3.976889881
331,28-11-2021,53327,57490,54759.04,57317.17,8222.424934,14.67799079
332,29-11-2021,56730,58908.27,57318.51,57838.06,13454.23335,13.22289376
333,30-11-2021,55910.33,59249.77,57838.06,56987.97,18038.78771,24.89145951
334,01-12-2021,56465.75,59118.84,56998.35,57226.5,16607.30873,27.89686021
335,02-12-2021,55845,57423.69,57226.51,56521.46,12969.21953,41.66303357
336,03-12-2021,51640,57670.68,56521.45,53638.04,19567.63114,16.50431361
337,04-12-2021,42333,53876.09,53633.02,49241.12,39023.32979,19.81297816
338,05-12-2021,47827,49783,49235.26,49484.22,21727.13821,7.421968568
339,06-12-2021,47200,51105,49484.21,50529.56,23082.30466,20.49077336
340,07-12-2021,50067.1,51995,50529.56,50625.48,14107.33217,21.60995231
341,08-12-2021,48650.02,51250,50625.24,50519.68,13138.99183,32.74075086
342,09-12-2021,47323.23,50844.86,50520.94,47568.43,15749.42434,21.70001043
343,10-12-2021,46900,50148.49,47568.43,47170.94,15689.57422,24.12077958
344,11-12-2021,46786.78,49517.18,47170.94,49407.75,11045.22374,23.17580909
345,12-12-2021,48665.43,50828.13,49424.47,50089.64,10411.0818,18.50017609
346,13-12-2021,45727.92,50218.42,50089.64,46727.89,20797.28835,14.72969637
347,14-12-2021,46300,48686.91,46727.89,48367.43,17107.03429,13.95313703
348,15-12-2021,46530,49500,48359.23,48884.78,21621.70984,10.94234909
349,16-12-2021,47524.66,49459.39,48878.83,47634.22,12731.23682,9.160408212
350,17-12-2021,45469.32,48000,47634.2,46166.5,18556.079,19.34976521
351,18-12-2021,45515.72,47368.73,46159.87,46859.46,8170.853032,9.7071152
352,19-12-2021,46440.11,48351.92,46857.49,46687.19,9518.707128,9.640546537
353,20-12-2021,45568,47548.93,46687.2,46926.07,16039.3851,9.413717232
354,21-12-2021,46645.05,49339.31,46926.07,48914.7,15461.41057,8.902561847
355,22-12-2021,48450,49595,48914.7,48608.62,10753.49907,18.56154305
356,23-12-2021,48032.16,51397.82,48608.61,50842.2,16627.04628,14.90423171
357,24-12-2021,50445.55,51878.6,50842.06,50851.38,11690.45418,27.21126303
